"ID";"N_LAB";"AREA";"LONG";"LAT";"NUM_CAMPO";"PROJETO";"CLASSE";"Lab";"BASE";"AG_PPM";"AS_PPM";"AU_PPM";"B_PPM";"BA_PPM";"BE_PPM";"BI_PPM";"CD_PPM";"CO_PPM";"CR_PPM";"CU_PPM";"F_PPM";"LA_PPM";"MN_PPM";"MO_PPM";"NB_PPM";"NI_PPM";"PB_PPM";"SB_PPM";"SC_PPM";"SN_PPM";"SR_PPM";"U_PPM";"V_PPM";"W_PPM";"Y_PPM";"ZN_PPM";"ZR_PPM";"CA_PCT";"FE_PCT";"MG_PCT";"TI_PCT"
1;"DAF540";"cartas_100M";-52.340478952;-3.383136886;"1521-DM-B-039";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;"DAF540";"cartas_100M";-52.340478952;-3.383136886;"1521-DM-B-039";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;"DAF541";"cartas_100M";-52.327368422;-3.371152403;"1521-DM-B-043";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"DAF541";"cartas_100M";-52.327368422;-3.371152403;"1521-DM-B-043";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;"DAG266";;-52.581486331;-3.471629829;"1521-DM-B-101";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Absorção Atômica - Água Régia Invertida";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;"ND";;;;;;;;;;;;;;;;;
6;"DAG266";;-52.581486331;-3.471629829;"1521-DM-B-101";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Absorção Atômica - EDTA a Frio";"SGB-CPRM - Rigeo";;;;;;;;;;;"1";;;;;;;;;;;;;;;;;;;;;
7;"DAG266";;-52.581486331;-3.471629829;"1521-DM-B-101";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"< 0,05";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;"DAG266";;-52.581486331;-3.471629829;"1521-DM-B-101";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Absorção Atômica - HNO3 a Quente";"SGB-CPRM - Rigeo";"ND";;;;;;;"ND";;;"< 5";;;;;;;"< 5";;;;;;;;;"< 5";;;;;
9;"DAG266";;-52.581486331;-3.471629829;"1521-DM-B-101";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Cromatografia - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;"< 20";;;;;;;;;
10;"DAG266";;-52.581486331;-3.471629829;"1521-DM-B-101";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Medidor de Íon Específico - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;"< 50";;;;;;;;;;;;;;;;;;;;
11;"DAG266";;-52.581486331;-3.471629829;"1521-DM-B-101";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Colorimetria";"SGB-CPRM - Rigeo";;"< 10";;;;;;;;;;;;;;;;;"ND";;;;;;;;;;;;;
12;"DAG266";;-52.581486331;-3.471629829;"1521-DM-B-101";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"15";"700";"< 1";"ND";"ND";"< 5";"ND";"< 5";;"50";"300";"ND";"15";"ND";"< 10";"ND";"ND";"ND";"ND";;"10";"ND";"20";"ND";"> 1000";"< 0,05";"0,15";"< 0,02";"0,3"
13;"DAG266A";;-52.581486331;-3.471629829;"1521-DM-B-101";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Absorção Atômica - Água Régia Invertida";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;"ND";;;;;;;;;;;;;;;;;
