"ID";"N_LAB";"AREA";"LONG";"LAT";"NUM_CAMPO";"PROJETO";"CLASSE";"Lab";"BASE";"ANATASIO";"ANDALUSITA";"ANFIBOLIO";"APATITA";"CARBONATO";"CASSITERITA";"CIANITA";"COL.TAN.";"CORINDON";"CROMITA";"EPIDOTO";"ESPINELIO";"ESTAUROLITA";"FOSFATO";"GRANADA";"HEMATITA";"ILMENITA";"LEUCOXENIO";"MAGNETITA";"MICAS";"MONAZITA";"OURO";"OX.FERRO";"PIR.OXIDADA";"PIRITA";"PIROXENIO";"RUTILO";"SCHEELITA";"SILLIMAN";"TITANITA";"TOPAZIO";"TURMALINA";"XENOTIMIO";"ZIRCAO"
1;"DBV962";"cartas_100M";-51,753741494;-3,96304603;"1511-AV-B-001";"Grande Carajás - Folha Altamira";"Concentrado de Bateia";"Análise semiquantitativa";"SGB-CPRM - Rigeo";;;"< 1 %";;;;"< 1 %";;"1 - 5 %";"< 1 %";;;;;"1 - 5 %";;"50 - 75 %";"< 1 %";"< 1 %";;"1 - 5 %";;"< 1 %";;;;;;;"< 1 %";;;;"5 - 25 %"
2;"DBV963";"cartas_100M";-51,751334878;-3,965192751;"1511-AV-B-002";"Grande Carajás - Folha Altamira";"Concentrado de Bateia";"Análise semiquantitativa";"SGB-CPRM - Rigeo";"< 1 %";;;"< 1 %";;;;;"1 - 5 %";;;;;;;;"50 - 75 %";"< 1 %";"< 1 %";;"5 - 25 %";;"1 - 5 %";;;;"< 1 %";;"< 1 %";;;"< 1 %";;"5 - 25 %"
3;"DBV964";"cartas_100M";-51,768252978;-3,974490121;"1511-AV-B-003";"Grande Carajás - Folha Altamira";"Concentrado de Bateia";"Análise semiquantitativa";"SGB-CPRM - Rigeo";"1 - 5 %";;;;;;;;;;;;;;;;"50 - 75 %";"< 1 %";"< 1 %";;"1 - 5 %";;"< 1 %";;;;"< 1 %";;;;;;;"5 - 25 %"
4;"DBV965";"cartas_100M";-51,812305151;-3,96582073;"1511-AV-B-004";"Grande Carajás - Folha Altamira";"Concentrado de Bateia";"Análise semiquantitativa";"SGB-CPRM - Rigeo";;"< 1 %";;"< 1 %";;;;;"< 1 %";;;;;;"< 1 %";;"75 - 100 %";;"< 1 %";;"5 - 25 %";;"< 1 %";;;;;;;"< 1 %";;;;"1 - 5 %"
5;"DBV966";"cartas_100M";-51,765636388;-3,657862309;"1511-AV-B-005";"Grande Carajás - Folha Altamira";"Concentrado de Bateia";"Análise semiquantitativa";"SGB-CPRM - Rigeo";"1 - 5 %";"< 1 %";"< 1 %";;;"< 1 %";;;"1 - 5 %";"< 1 %";"< 1 %";;;;;;"50 - 75 %";"< 1 %";"< 1 %";;"1 - 5 %";;"5 - 25 %";;;;"< 1 %";;"< 1 %";"< 1 %";;"1 - 5 %";;"1 - 5 %"
6;"DBV967";"cartas_100M";-51,765120398;-3,661824252;"1511-AV-B-006";"Grande Carajás - Folha Altamira";"Concentrado de Bateia";"Análise semiquantitativa";"SGB-CPRM - Rigeo";"5 - 25 %";"< 1 %";;"< 1 %";;"1 - 5 %";;;;;;;;;;;"75 - 100 %";"< 1 %";"25 - 50 %";;"< 1 %";;"1 - 5 %";;;;"< 1 %";;"< 1 %";"< 1 %";;"< 1 %";;"1 - 5 %"
7;"DBV968";"cartas_100M";-51,763906983;-3,663698504;"1511-AV-B-007";"Grande Carajás - Folha Altamira";"Concentrado de Bateia";"Análise semiquantitativa";"SGB-CPRM - Rigeo";;"< 1 %";"< 1 %";"< 1 %";;"< 1 %";;;;;;;;;;;"5 - 25 %";;"25 - 50 %";;"< 1 %";;"50 - 75 %";"< 1 %";;"< 1 %";;;;"< 1 %";;"< 1 %";;"< 1 %"
8;"DBV969";"cartas_100M";-51,765776154;-3,659734492;"1511-AV-B-008";"Grande Carajás - Folha Altamira";"Concentrado de Bateia";"Análise semiquantitativa";"SGB-CPRM - Rigeo";;;"75 - 100 %";;;;;;;;;;;;;;"5 - 25 %";;"< 1 %";;"< 1 %";;"5 - 25 %";;;;;;;;;;;
9;"DBX073";"cartas_100M";-52,096489288;-3,558827455;"1511-AV-B-009";"Grande Carajás - Folha Altamira";"Concentrado de Bateia";"Análise semiquantitativa";"SGB-CPRM - Rigeo";"< 1 %";;;;;;;;;;;"< 1 %";;;"< 1 %";;"75 - 100 %";"< 1 %";"< 1 %";;"< 1 %";;;;;;"< 1 %";;;;;;"< 1 %";"5 - 25 %"
10;"DBX074";"cartas_100M";-52,230053785;-3,71054818;"1511-AV-B-010";"Grande Carajás - Folha Altamira";"Concentrado de Bateia";"Análise semiquantitativa";"SGB-CPRM - Rigeo";"< 1 %";;;;;;;;;;;;;;"< 1 %";;"25 - 50 %";"< 1 %";"5 - 25 %";;"< 1 %";;"< 1 %";;;;"< 1 %";;;;;;"< 1 %";"25 - 50 %"
11;"DBX075";"cartas_100M";-52,221350003;-3,708640094;"1511-AV-B-011";"Grande Carajás - Folha Altamira";"Concentrado de Bateia";"Análise semiquantitativa";"SGB-CPRM - Rigeo";"< 1 %";;"< 1 %";;;;;;;;;;;;;;"25 - 50 %";;;;"< 1 %";;;;;;"< 1 %";;;;;;"< 1 %";"50 - 75 %"
12;"DBX076";"cartas_100M";-52,301579601;-3,775006894;"1511-AV-B-012";"Grande Carajás - Folha Altamira";"Concentrado de Bateia";"Análise semiquantitativa";"SGB-CPRM - Rigeo";"< 1 %";;;;;;;;;;"< 1 %";"< 1 %";;;;;"75 - 100 %";;;;"< 1 %";;"< 1 %";;;;"< 1 %";;;;;"< 1 %";;"5 - 25 %"
13;"DBX077";"cartas_100M";-52,300481188;-3,741104246;"1511-AV-B-013";"Grande Carajás - Folha Altamira";"Concentrado de Bateia";"Análise semiquantitativa";"SGB-CPRM - Rigeo";"< 1 %";;;;;;;;;;;;;;;;"25 - 50 %";;"< 1 %";;"< 1 %";;;;;;"< 1 %";;;;;"< 1 %";"< 1 %";"25 - 50 %"
14;"DBX078";"cartas_100M";-52,338925487;-3,718551797;"1511-AV-B-014";"Grande Carajás - Folha Altamira";"Concentrado de Bateia";"Análise semiquantitativa";"SGB-CPRM - Rigeo";"< 1 %";;;;;;;;;;;;;;;;"75 - 100 %";;;;"< 1 %";;;;;;"< 1 %";;;;;;"< 1 %";"25 - 50 %"
15;"DBX079";"cartas_100M";-52,185738489;-3,638073231;"1511-AV-B-016";"Grande Carajás - Folha Altamira";"Concentrado de Bateia";"Análise semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;"50 - 75 %";;"< 1 %";;"< 1 %";;;;;;"< 1 %";;;;;"< 1 %";"< 1 %";"5 - 25 %"
16;"DBX080";"cartas_100M";-52,161987897;-3,560906203;"1511-AV-B-017";"Grande Carajás - Folha Altamira";"Concentrado de Bateia";"Análise semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;"< 1 %";;;;;;"75 - 100 %";;"< 1 %";;"< 1 %";;"< 1 %";;;;"< 1 %";;;;;;;"5 - 25 %"
17;"DBX081";"cartas_100M";-52,061659613;-3,511619138;"1511-AV-B-018";"Grande Carajás - Folha Altamira";"Concentrado de Bateia";"Análise semiquantitativa";"SGB-CPRM - Rigeo";"< 1 %";;;;;;;;;;"< 1 %";;;;;;"75 - 100 %";;"< 1 %";;"< 1 %";;;;;;"< 1 %";;;;;"< 1 %";"< 1 %";"1 - 5 %"
18;"DBX082";"cartas_100M";-52,02169815;-3,54598771;"1511-AV-B-019";"Grande Carajás - Folha Altamira";"Concentrado de Bateia";"Análise semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;"< 1 %";"< 1 %";;;;;"75 - 100 %";;"< 1 %";;"1 - 5 %";;;;;;"< 1 %";;;;;"< 1 %";"< 1 %";"5 - 25 %"
19;"DBX083";"cartas_100M";-52,032980091;-3,528593571;"1511-AV-B-020";"Grande Carajás - Folha Altamira";"Concentrado de Bateia";"Análise semiquantitativa";"SGB-CPRM - Rigeo";"< 1 %";;;;;;;;;;;"< 1 %";;;"< 1 %";;"75 - 100 %";;"< 1 %";;"< 1 %";;"< 1 %";;;;"< 1 %";;;"< 1 %";;"< 1 %";"< 1 %";"1 - 5 %"
20;"DBX084";"cartas_100M";-52,037371035;-3,493005719;"1511-AV-B-021";"Grande Carajás - Folha Altamira";"Concentrado de Bateia";"Análise semiquantitativa";"SGB-CPRM - Rigeo";;"1 - 5 %";;;;;;;;;;;;;;;"75 - 100 %";;"< 1 %";;"< 1 %";;;;;;"< 1 %";;;"< 1 %";;"< 1 %";;"1 - 5 %"
21;"DBX085";"cartas_100M";-52,047124334;-3,493580922;"1511-AV-B-022";"Grande Carajás - Folha Altamira";"Concentrado de Bateia";"Análise semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;"< 1 %";;;;;;"75 - 100 %";;"< 1 %";;"< 1 %";;;;;;"< 1 %";;;"< 1 %";;"< 1 %";;"1 - 5 %"
