"";"N_LAB";"NUM_CAMPO";"LONG_DEC";"LAT_DEC";"UTM_LESTE";"UTM_NORTE";"MC";"PROJETO";"CLASSE";"LOTE";"REQUERENTE";"DATA"
"1";"IBV199";"MB0002";"-48,40262119";"-24,99146063";762177;7233486;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1513/SP";500;"10/2008"
"2";"IBV200";"MB0012";"-48,50400662";"-24,97575962";751971;7235418;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1513/SP";500;"10/2008"
"3";"IBV201";"MB0013";"-48,39985365";"-24,97097946";762500;7235750;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1513/SP";500;"10/2008"
"4";"IBV202";"MB0017";"-48,39602775";"-24,96459499";762900;7236450;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1513/SP";500;"10/2008"
"5";"IBV203";"MB0019";"-48,33829898";"-24,96139867";768738;7236691;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1513/SP";500;"10/2008"
"6";"IBV204";"MB0029";"-48,46598556";"-24,9457211";755873;7238675;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1513/SP";500;"10/2008"
"7";"IBV205";"MB0032";"-48,50296687";"-24,94241069";752144;7239111;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1513/SP";500;"10/2008"
"8";"IBV206";"MB0032A";"-48,50296687";"-24,94241069";752144;7239111;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1513/SP";500;"10/2008"
"9";"IBV207";"MB0035";"-48,27579388";"-24,9307574";775120;7239961;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1513/SP";500;"10/2008"
"10";"IBV208";"MB0041";"-48,46825513";"-24,92138196";755694;7241376;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1513/SP";500;"10/2008"
"11";"IBV209";"MB0060";"-48,4741481";"-24,89883699";755145;7243885;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1513/SP";500;"10/2008"
"12";"IBV210";"MB0061";"-48,47102155";"-24,89784534";755463;7243989;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1513/SP";500;"10/2008"
"13";"IBV211";"MB0064";"-48,4695557";"-24,89597025";755615;7244194;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1513/SP";500;"10/2008"
