"PROJETO_AMOSTRAGEM";"PROJETO_PUBLICACAO";"CENTRO_CUSTO";"CLASSE";"NUM_CAMPO";"NUM_LAB";"DATA_VISITA";"ABERTURA";"LEITURA";"JOB";"ANATASIO";"ANDALUSITA";"ANFIBOLIO";"APATITA";"CARBONATO";"CASSITERITA";"CIANITA";"COL.TAN.";"CORINDON";"CROMITA";"EPIDOTO";"ESPINELIO";"ESTAUROLITA";"FOSFATO";"GRANADA";"HEMATITA";"ILMENITA";"LEUCOXENIO";"MAGNETITA";"MICAS";"MONAZITA";"OURO";"OX.FERRO";"PIR.OXIDADA";"PIRITA";"PIROXENIO";"RUTILO";"SCHEELITA";"SILLIMAN";"TITANITA";"TOPAZIO";"TURMALINA";"XENOTIMIO";"ZIRCAO";"LONGITUDE";"LATITUDE";"PROJETO";"OS";"ACAO";"AREA";"LAT";"LONG";"PRECISAO";"CENTRO_CUS";"DTVISITA";"DESCAMOSTR";"MATCOLETAD";"ROCHMATRIZ";"INTEMROCHA";"ALTERROCHA";"TIPMINERAL";"GRAUARREDO";"VOLUME_L";"P_BATEIA_G";"GRANULMAX";"GRANULMIN";"COMPOS";"CORSED_SOL";"EH_MILIVOL";"PH";"METALPESAD";"OBS_CAMPO";"FONTEAMOST";"DESCROCHA";"IDADEROCH1";"IDADEROCH2";"PLUVIOSIDA";"VEGETACAO";"TOPOGRAFIA";"SITUACAO";"IGNEAROCHA";"ESTRUTURAL";"FORMADEPOS";"MODO_DEPOS";"LARG_RIO_M";"PROF_RIO_M";"VELOC_CORR";"NIVEL_DAGU";"AREADRENAG";"TURBIDEZ";"POSICAO";"COR_AGUA";"HORIZ_SOLO";"TIPO_SOLO";"AMBBIOTICO";"GEOMETRY"
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Concentrado de Bateia";"1511-AV-B-001";"DBV962";"30803";NA;"Análise semiquantitativa";NA;NA;NA;"< 1";NA;NA;NA;"< 1";NA;"1 - 5";"< 1";NA;NA;NA;NA;"1 - 5";NA;"50 - 75";"< 1";"< 1";NA;"1 - 5";NA;"< 1";NA;NA;NA;NA;NA;NA;"< 1";NA;NA;NA;"5 - 25";"-51,753741494";"-3,96304603";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,963046";"-51,753741";"5";"1511270";"1984-05-01";"Simples";"Areia";NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;"4,7";NA;NA;"Rio";NA;NA;NA;"Chuvas Fortes Recentes";NA;NA;"Leito Ativo Abaixo do Nível d'água";NA;NA;NA;NA;"1";"0,3";"Baixa";"Alto";"Ate 10 Km2";"Pouca";"Calha";"Clara";NA;NA;NA;"c(-51,753741494, -3,96304603)"
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Concentrado de Bateia";"1511-AV-B-002";"DBV963";"30803";NA;"Análise semiquantitativa";NA;"< 1";NA;NA;"< 1";NA;NA;NA;NA;"1 - 5";NA;NA;NA;NA;NA;NA;NA;"50 - 75";"< 1";"< 1";NA;"5 - 25";NA;"1 - 5";NA;NA;NA;"< 1";NA;"< 1";NA;NA;"< 1";NA;"5 - 25";"-51,751334878";"-3,965192751";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,965193";"-51,751335";"5";"1511270";"1984-05-01";"Simples";"Cascalho";NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;"4,7";NA;NA;"Rio";NA;NA;NA;"Chuvas Fortes Recentes";NA;NA;"Leite Ativo Acima do Nível d'água";NA;NA;NA;NA;"1";"0,3";"Baixa";"Alto";"Ate 10 Km2";"Pouca";"Calha";"Clara";NA;NA;NA;"c(-51,751334878, -3,965192751)"
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Concentrado de Bateia";"1511-AV-B-003";"DBV964";"30803";NA;"Análise semiquantitativa";NA;"1 - 5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"50 - 75";"< 1";"< 1";NA;"1 - 5";NA;"< 1";NA;NA;NA;"< 1";NA;NA;NA;NA;NA;NA;"5 - 25";"-51,768252978";"-3,974490121";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,97449";"-51,768253";"5";"1511270";"1984-05-01";"Simples";"Areia";NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;"4,7";NA;NA;"Rio";NA;NA;NA;"Chuvas Diarias";NA;NA;"Leite Ativo Acima do Nível d'água";NA;NA;NA;NA;"20";"4";"Moderada";"Alto";"50-100 Km2";NA;"Margem Direita";"Marrom";NA;NA;NA;"c(-51,768252978, -3,974490121)"
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Concentrado de Bateia";"1511-AV-B-004";"DBV965";"30803";NA;"Análise semiquantitativa";NA;NA;"< 1";NA;"< 1";NA;NA;NA;NA;"< 1";NA;NA;NA;NA;NA;"< 1";NA;"75 - 100";NA;"< 1";NA;"5 - 25";NA;"< 1";NA;NA;NA;NA;NA;NA;"< 1";NA;NA;NA;"1 - 5";"-51,812305151";"-3,96582073";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,965821";"-51,812305";"5";"1511270";"1984-05-01";"Simples";"Cascalho";NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;"4,7";NA;NA;"Rio";NA;NA;NA;"Chuvas Diarias";"Floresta Fechada";NA;"Leito Ativo Abaixo do Nível d'água";NA;NA;NA;NA;"2";"0,3";"Moderada";"Alto";"Ate 10 Km2";NA;"Calha";"Clara";NA;NA;NA;"c(-51,812305151, -3,96582073)"
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Concentrado de Bateia";"1511-AV-B-005";"DBV966";"30803";NA;"Análise semiquantitativa";NA;"1 - 5";"< 1";"< 1";NA;NA;"< 1";NA;NA;"1 - 5";"< 1";"< 1";NA;NA;NA;NA;NA;"50 - 75";"< 1";"< 1";NA;"1 - 5";NA;"5 - 25";NA;NA;NA;"< 1";NA;"< 1";"< 1";NA;"1 - 5";NA;"1 - 5";"-51,765636388";"-3,657862309";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,657862";"-51,765636";"5";"1511270";"1984-05-01";"Simples";"Cascalho";NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;"4,7";NA;NA;"Rio";NA;NA;NA;"Chuvas Esparsas";"Floresta Aberta";NA;"Leito Ativo ao Nível d'água";NA;NA;NA;NA;"3";"0,3";"Baixa";"Alto";"Ate 10 Km2";NA;"Calha";"Clara";NA;NA;NA;"c(-51,765636388, -3,657862309)"
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Concentrado de Bateia";"1511-AV-B-006";"DBV967";"30803";NA;"Análise semiquantitativa";NA;"5 - 25";"< 1";NA;"< 1";NA;"1 - 5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"75 - 100";"< 1";"25 - 50";NA;"< 1";NA;"1 - 5";NA;NA;NA;"< 1";NA;"< 1";"< 1";NA;"< 1";NA;"1 - 5";"-51,765120398";"-3,661824252";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,661824";"-51,76512";"5";"1511270";"1984-05-01";"Simples";"Cascalho";NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;"4,7";NA;NA;"Rio";NA;NA;NA;"Chuvas Esparsas";"Floresta Aberta";NA;"Leito Ativo ao Nível d'água";NA;NA;NA;NA;"3";"0,3";"Baixa";"Alto";"Ate 10 Km2";NA;"Calha";"Clara";NA;NA;NA;"c(-51,765120398, -3,661824252)"
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Concentrado de Bateia";"1511-AV-B-007";"DBV968";"30803";NA;"Análise semiquantitativa";NA;NA;"< 1";"< 1";"< 1";NA;"< 1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5 - 25";NA;"25 - 50";NA;"< 1";NA;"50 - 75";"< 1";NA;"< 1";NA;NA;NA;"< 1";NA;"< 1";NA;"< 1";"-51,763906983";"-3,663698504";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,663699";"-51,763907";"5";"1511270";"1984-05-01";"Simples";"Argila";NA;NA;NA;NA;NA;"5";NA;NA;NA;NA;NA;NA;"4,7";NA;NA;"Solo Residual";NA;NA;NA;"Chuvas Esparsas";"Floresta Aberta";"Planalto";"Superficie";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-51,763906983, -3,663698504)"
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Concentrado de Bateia";"1511-AV-B-008";"DBV969";"30803";NA;"Análise semiquantitativa";NA;NA;NA;"75 - 100";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5 - 25";NA;"< 1";NA;"< 1";NA;"5 - 25";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-51,765776154";"-3,659734492";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,659734";"-51,765776";"5";"1511270";"1984-05-01";"Simples";"Cascalho";NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;"4,7";NA;NA;"Rio";NA;NA;NA;"Chuvas Esparsas";"Floresta Aberta";NA;NA;NA;NA;NA;NA;"1";"0,1";"Lenta";"Baixa";"Ate 10 Km2";"Nenhuma";"Calha";"Clara";NA;NA;NA;"c(-51,765776154, -3,659734492)"
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Concentrado de Bateia";"1511-AV-B-009";"DBX073";"30834";NA;"Análise semiquantitativa";NA;"< 1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"< 1";NA;NA;"< 1";NA;"75 - 100";"< 1";"< 1";NA;"< 1";NA;NA;NA;NA;NA;"< 1";NA;NA;NA;NA;NA;"< 1";"5 - 25";"-52,096489288";"-3,558827455";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,558827";"-52,096489";"5";"1511270";"1984-06-01";"Simples";"Areia";NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;"0";NA;NA;"Rio";NA;NA;NA;"Chuvas Diarias";"Floresta Fechada";NA;"Leito Ativo Abaixo do Nível d'água";NA;NA;NA;NA;"12";"2,5";"Rapida";"Alto";NA;NA;"Calha";"Marrom";NA;NA;NA;"c(-52,096489288, -3,558827455)"
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Concentrado de Bateia";"1511-AV-B-010";"DBX074";"30834";NA;"Análise semiquantitativa";NA;"< 1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"< 1";NA;"25 - 50";"< 1";"5 - 25";NA;"< 1";NA;"< 1";NA;NA;NA;"< 1";NA;NA;NA;NA;NA;"< 1";"25 - 50";"-52,230053785";"-3,71054818";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,710548";"-52,230054";"5";"1511270";"1984-06-01";"Simples";"Areia";NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;"0";NA;NA;"Rio";NA;NA;NA;"Chuvas Diarias";"Floresta Fechada";NA;"Leito Ativo Abaixo do Nível d'água";NA;NA;NA;NA;"12";"2";"Moderada";"Alto";NA;NA;"Calha";"Marrom";NA;NA;NA;"c(-52,230053785, -3,71054818)"
