"PROJETO_AMOSTRAGEM";"PROJETO_PUBLICACAO";"CENTRO_CUSTO";"CLASSE";"NUM_CAMPO";"NUM_LAB";"DATA_VISITA";"ABERTURA";"LEITURA";"JOB";"AG_PPM";"AS_PPM";"AU_PPM";"B_PPM";"BA_PPM";"BE_PPM";"BI_PPM";"CA_PCT";"CD_PPM";"CO_PPM";"CR_PPM";"CU_PPM";"F_PPM";"FE_PCT";"LA_PPM";"MG_PCT";"MN_PPM";"MO_PPM";"NB_PPM";"NI_PPM";"P.CNC_G";"P.QRT_G";"P.TOTAL_G";"PB_PPM";"SB_PPM";"SC_PPM";"SN_PPM";"SR_PPM";"TI_PCT";"U_PPM";"V_PPM";"W_PPM";"Y_PPM";"ZN_PPM";"ZR_PPM";"OBSERVACAO";"LONGITUDE";"LATITUDE";"PROJETO";"OS";"ACAO";"AREA";"CLASSE.1";"NUM_CAMPO.1";"LAT";"LONG";"PRECISAO";"CENTRO_CUS";"DTVISITA";"DESCAMOSTR";"MATCOLETAD";"ROCHMATRIZ";"INTEMROCHA";"ALTERROCHA";"TIPMINERAL";"GRAUARREDO";"VOLUME_L";"P_BATEIA_G";"GRANULMAX";"GRANULMIN";"COMPOS_PCT";"CORSED_SOL";"EH_MILIVOL";"PH";"METALPESAD";"OBS_CAMPO";"FONTEAMOST";"DESCROCHA";"IDADEROCH1";"IDADEROCH2";"PLUVIOSIDA";"VEGETACAO";"TOPOGRAFIA";"SITUACAO";"IGNEAROCHA";"ESTRUTURAL";"FORMADEPOS";"MODO_DEPOS";"LARG_RIO_M";"PROF_RIO_M";"VELOC_CORR";"NIVEL_DAGU";"AREADRENAG";"TURBIDEZ";"POSICAO";"COR_AGUA";"HORIZ_SOLO";"TIPO_SOLO";"AMBBIOTICO";"GEOMETRY"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Concentrado de Bateia";"1521-DM-B-039";"DAF540";"27607";"HBr, Br";"Absorção Atômica";NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-52,340478952";"-3,383136886";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Concentrado de Bateia";"1521-DM-B-039";"-3,383137";"-52,340479";"5";"1521310";"1975-08-01";"Composto";"Aluviao";NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Rio";NA;"Pre-Cambriano";"Indeterminado";"Chuvas Esparsas";"Floresta Aberta";NA;"Leito Ativo Abaixo do Nível d'água";NA;NA;NA;NA;"2";"0,3";"Moderada";"Normal";"Ate 10 Km2";"Moderada";"Calha";"Clara";NA;NA;NA;"c(-52,340478952, -3,383136886)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Concentrado de Bateia";"1521-DM-B-039";"DAF540";"27607";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,5";NA;"76";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-52,340478952";"-3,383136886";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Concentrado de Bateia";"1521-DM-B-039";"-3,383137";"-52,340479";"5";"1521310";"1975-08-01";"Composto";"Aluviao";NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Rio";NA;"Pre-Cambriano";"Indeterminado";"Chuvas Esparsas";"Floresta Aberta";NA;"Leito Ativo Abaixo do Nível d'água";NA;NA;NA;NA;"2";"0,3";"Moderada";"Normal";"Ate 10 Km2";"Moderada";"Calha";"Clara";NA;NA;NA;"c(-52,340478952, -3,383136886)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Concentrado de Bateia";"1521-DM-B-043";"DAF541";"27607";"HBr, Br";"Absorção Atômica";NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-52,327368422";"-3,371152403";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Concentrado de Bateia";"1521-DM-B-043";"-3,371152";"-52,327368";"5";"1521310";"1975-08-01";"Composto";"Aluviao";NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Rio";NA;"Pre-Cambriano";"Indeterminado";"Chuvas Esparsas";"Floresta Aberta";NA;"Leito Ativo Abaixo do Nível d'água";NA;NA;NA;NA;"2";"0,3";"Moderada";"Normal";"Ate 10 Km2";"Moderada";"Calha";"Clara";NA;NA;NA;"c(-52,327368422, -3,371152403)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Concentrado de Bateia";"1521-DM-B-043";"DAF541";"27607";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,5";NA;"56,3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-52,327368422";"-3,371152403";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Concentrado de Bateia";"1521-DM-B-043";"-3,371152";"-52,327368";"5";"1521310";"1975-08-01";"Composto";"Aluviao";NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Rio";NA;"Pre-Cambriano";"Indeterminado";"Chuvas Esparsas";"Floresta Aberta";NA;"Leito Ativo Abaixo do Nível d'água";NA;NA;NA;NA;"2";"0,3";"Moderada";"Normal";"Ate 10 Km2";"Moderada";"Calha";"Clara";NA;NA;NA;"c(-52,327368422, -3,371152403)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Concentrado de Bateia";"1521-DM-B-101";"DAG266";"27668";"Água Régia Invertida";"Absorção Atômica";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ND";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-52,581486331";"-3,471629829";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Concentrado de Bateia";"1521-DM-B-101";"-3,47163";"-52,581486";"5";"1521310";"1975-10-01";"Composto";"Coluviao";NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;"5";NA;NA;"Trincheira";"Gnaisse";"Pre-Cambriano";"Indeterminado";"Periodo Seco";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,581486331, -3,471629829)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Concentrado de Bateia";"1521-DM-B-101";"DAG266";"27668";"EDTA a Frio";"Absorção Atômica";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-52,581486331";"-3,471629829";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Concentrado de Bateia";"1521-DM-B-101";"-3,47163";"-52,581486";"5";"1521310";"1975-10-01";"Composto";"Coluviao";NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;"5";NA;NA;"Trincheira";"Gnaisse";"Pre-Cambriano";"Indeterminado";"Periodo Seco";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,581486331, -3,471629829)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Concentrado de Bateia";"1521-DM-B-101";"DAG266";"27668";"HBr, Br";"Absorção Atômica";NA;NA;NA;"< 0,05";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Amostra insuficiente para completar análise de Au_ppm";"-52,581486331";"-3,471629829";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Concentrado de Bateia";"1521-DM-B-101";"-3,47163";"-52,581486";"5";"1521310";"1975-10-01";"Composto";"Coluviao";NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;"5";NA;NA;"Trincheira";"Gnaisse";"Pre-Cambriano";"Indeterminado";"Periodo Seco";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,581486331, -3,471629829)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Concentrado de Bateia";"1521-DM-B-101";"DAG266";"27668";"HNO3 a Quente";"Absorção Atômica";NA;"ND";NA;NA;NA;NA;NA;NA;NA;"ND";NA;NA;"< 5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"< 5";NA;NA;NA;NA;NA;NA;NA;NA;NA;"< 5";NA;NA;"-52,581486331";"-3,471629829";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Concentrado de Bateia";"1521-DM-B-101";"-3,47163";"-52,581486";"5";"1521310";"1975-10-01";"Composto";"Coluviao";NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;"5";NA;NA;"Trincheira";"Gnaisse";"Pre-Cambriano";"Indeterminado";"Periodo Seco";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,581486331, -3,471629829)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Concentrado de Bateia";"1521-DM-B-101";"DAG266";"27668";"Semiquantitativa";"Cromatografia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"< 20";NA;NA;NA;NA;NA;NA;"-52,581486331";"-3,471629829";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Concentrado de Bateia";"1521-DM-B-101";"-3,47163";"-52,581486";"5";"1521310";"1975-10-01";"Composto";"Coluviao";NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;"5";NA;NA;"Trincheira";"Gnaisse";"Pre-Cambriano";"Indeterminado";"Periodo Seco";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,581486331, -3,471629829)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Concentrado de Bateia";"1521-DM-B-101";"DAG266";"27668";"Semiquantitativa";"Medidor de Íon Específico";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"< 50";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-52,581486331";"-3,471629829";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Concentrado de Bateia";"1521-DM-B-101";"-3,47163";"-52,581486";"5";"1521310";"1975-10-01";"Composto";"Coluviao";NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;"5";NA;NA;"Trincheira";"Gnaisse";"Pre-Cambriano";"Indeterminado";"Periodo Seco";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,581486331, -3,471629829)"
