"PROJETO_AMOSTRAGEM";"PROJETO_PUBLICACAO";"CENTRO_CUSTO";"CLASSE";"NUM_CAMPO";"NUM_LAB";"DATA_VISITA";"ABERTURA";"LEITURA";"JOB";"AG_PPM";"AS_PPM";"AU_PPM";"B_PPM";"BA_PPM";"BE_PPM";"BI_PPM";"CA_PCT";"CD_PPM";"CO_PPM";"CR_PPM";"CU_PPM";"FE_PCT";"LA_PPM";"MG_PCT";"MN_PPM";"MO_PPM";"NB_PPM";"NI_PPM";"PB_PPM";"SB_PPM";"SC_PPM";"SN_PPM";"SR_PPM";"TI_PCT";"V_PPM";"W_PPM";"Y_PPM";"ZN_PPM";"ZR_PPM";"OBSERVACAO";"LONGITUDE";"LATITUDE";"PROJETO";"OS";"ACAO";"AREA";"LAT";"LONG";"PRECISAO";"CENTRO_CUS";"DTVISITA";"DESCAMOSTR";"MATCOLETAD";"ROCHMATRIZ";"INTEMROCHA";"ALTERROCHA";"TIPMINERAL";"GRAUARREDO";"VOLUME_L";"P_BATEIA_G";"GRANULMAX";"GRANULMIN";"COMPOS_PCT";"CORSED_SOL";"EH_MILIVOL";"PH";"METALPESAD";"OBS_CAMPO";"FONTEAMOST";"DESCROCHA";"IDADEROCH1";"IDADEROCH2";"PLUVIOSIDA";"VEGETACAO";"TOPOGRAFIA";"SITUACAO";"IGNEAROCHA";"ESTRUTURAL";"FORMADEPOS";"MODO_DEPOS";"LARG_RIO_M";"PROF_RIO_M";"VELOC_CORR";"NIVEL_DAGU";"AREADRENAG";"TURBIDEZ";"POSICAO";"COR_AGUA";"HORIZ_SOLO";"TIPO_SOLO";"AMBBIOTICO";"GEOMETRY";"F_PPM";"U_PPM"
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Solo";"1511-AV-L-039";"DBX371";"30895";"HNO3 a Quente";"Absorção Atômica";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"65";NA;"210";NA;NA;NA;NA;NA;NA;"100";"8";NA;NA;NA;NA;NA;NA;NA;NA;"100";NA;NA;"-51,487854345";"-3,731667905";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,731668";"-51,487854";"5";"1511270";"1984-08-01";"Simples";"Silte";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;NA;"Solo Residual";NA;NA;NA;"Periodo Seco";"Floresta Fechada";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"B";"Lateritico";NA;"c(-51,487854345, -3,731667905)";NA;NA
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Solo";"1511-AV-L-039";"DBX371";"30895";NA;"Colorimetria";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";NA;NA;NA;NA;"-51,487854345";"-3,731667905";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,731668";"-51,487854";"5";"1511270";"1984-08-01";"Simples";"Silte";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;NA;"Solo Residual";NA;NA;NA;"Periodo Seco";"Floresta Fechada";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"B";"Lateritico";NA;"c(-51,487854345, -3,731667905)";NA;NA
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Solo";"1511-AV-L-039";"DBX371";"30895";NA;"Espectrografia Ótica de Emissão";NA;"ND";"ND";"ND";"20";"200";"< 1";"ND";"0,05";"ND";"50";"100";"150";"10";"20";"0,15";"2000";"ND";"< 10";"100";"20";"ND";"20";"ND";"ND";"> 1";"200";"ND";"20";"200";"100";NA;"-51,487854345";"-3,731667905";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,731668";"-51,487854";"5";"1511270";"1984-08-01";"Simples";"Silte";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;NA;"Solo Residual";NA;NA;NA;"Periodo Seco";"Floresta Fechada";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"B";"Lateritico";NA;"c(-51,487854345, -3,731667905)";NA;NA
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Solo";"1511-AV-L-040";"DBX372";"30895";"HNO3 a Quente";"Absorção Atômica";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"14";NA;"150";NA;NA;NA;NA;NA;NA;"55";"6";NA;NA;NA;NA;NA;NA;NA;NA;"55";NA;NA;"-51,479708941";"-3,719882776";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,719883";"-51,479709";"5";"1511270";"1984-08-01";"Simples";"Silte";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;NA;"Solo Residual";NA;NA;NA;"Periodo Seco";"Floresta Fechada";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"B";"Lateritico";NA;"c(-51,479708941, -3,719882776)";NA;NA
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Solo";"1511-AV-L-040";"DBX372";"30895";NA;"Colorimetria";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";NA;NA;NA;NA;"-51,479708941";"-3,719882776";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,719883";"-51,479709";"5";"1511270";"1984-08-01";"Simples";"Silte";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;NA;"Solo Residual";NA;NA;NA;"Periodo Seco";"Floresta Fechada";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"B";"Lateritico";NA;"c(-51,479708941, -3,719882776)";NA;NA
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Solo";"1511-AV-L-040";"DBX372";"30895";NA;"Espectrografia Ótica de Emissão";NA;"ND";"ND";"ND";"50";"100";"ND";"ND";"< 0,05";"ND";"20";"150";"100";"15";"20";"0,05";"300";"ND";"< 10";"100";"10";"ND";"50";"ND";"ND";"1";"500";"ND";"15";"200";"100";NA;"-51,479708941";"-3,719882776";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,719883";"-51,479709";"5";"1511270";"1984-08-01";"Simples";"Silte";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;NA;"Solo Residual";NA;NA;NA;"Periodo Seco";"Floresta Fechada";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"B";"Lateritico";NA;"c(-51,479708941, -3,719882776)";NA;NA
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Solo";"1511-AV-L-041";"DBX373";"30895";"HNO3 a Quente";"Absorção Atômica";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2";NA;"65";NA;NA;NA;NA;NA;NA;"26";"10";NA;NA;NA;NA;NA;NA;NA;NA;"25";NA;NA;"-51,559541193";"-3,688172932";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,688173";"-51,559541";"5";"1511270";"1984-08-01";"Simples";"Silte";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;NA;"Solo Residual";NA;NA;NA;"Periodo Seco";"Floresta Aberta";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"B";"Lateritico";NA;"c(-51,559541193, -3,688172932)";NA;NA
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Solo";"1511-AV-L-041";"DBX373";"30895";NA;"Colorimetria";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";NA;NA;NA;NA;"-51,559541193";"-3,688172932";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,688173";"-51,559541";"5";"1511270";"1984-08-01";"Simples";"Silte";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;NA;"Solo Residual";NA;NA;NA;"Periodo Seco";"Floresta Aberta";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"B";"Lateritico";NA;"c(-51,559541193, -3,688172932)";NA;NA
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Solo";"1511-AV-L-041";"DBX373";"30895";NA;"Espectrografia Ótica de Emissão";NA;"ND";"ND";"ND";"< 10";"200";"ND";"ND";"< 0,05";"ND";"7";"500";"50";"20";"50";"0,02";"150";"ND";"< 10";"70";"50";"ND";"30";"ND";"ND";"0,7";"500";"ND";"15";"ND";"150";NA;"-51,559541193";"-3,688172932";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,688173";"-51,559541";"5";"1511270";"1984-08-01";"Simples";"Silte";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;NA;"Solo Residual";NA;NA;NA;"Periodo Seco";"Floresta Aberta";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"B";"Lateritico";NA;"c(-51,559541193, -3,688172932)";NA;NA
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Solo";"1511-AV-L-042";"DBX374";"30895";"HNO3 a Quente";"Absorção Atômica";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";NA;"28";NA;NA;NA;NA;NA;NA;"13";"< 5";NA;NA;NA;NA;NA;NA;NA;NA;"30";NA;NA;"-51,568056978";"-3,722638425";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,722638";"-51,568057";"5";"1511270";"1984-08-01";"Simples";"Silte";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;NA;"Solo Residual";NA;NA;NA;"Periodo Seco";"Floresta Aberta";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"B";"Lateritico";NA;"c(-51,568056978, -3,722638425)";NA;NA
