"ID";"N_LAB";"AREA";"LONG";"LAT";"NUM_CAMPO";"PROJETO";"CLASSE";"Lab";"BASE";"AG_PPM";"AS_PPM";"AU_PPM";"B_PPM";"BA_PPM";"BE_PPM";"BI_PPM";"CD_PPM";"CO_PPM";"CR_PPM";"CU_PPM";"LA_PPM";"MN_PPM";"MO_PPM";"NB_PPM";"NI_PPM";"PB_PPM";"SB_PPM";"SC_PPM";"SN_PPM";"SR_PPM";"V_PPM";"W_PPM";"Y_PPM";"ZN_PPM";"ZR_PPM";"F_PPM";"U_PPM";"CA_PCT";"FE_PCT";"MG_PCT";"TI_PCT"
1;"DBX371";"cartas_100M";-51.487854345;-3.731667905;"1511-AV-L-039";"Grande Carajás - Folha Altamira";"Solo";"Absorção Atômica - HNO3 a Quente";"SGB-CPRM - Rigeo";;;;;;;;;"65";;"210";;;;;"100";"8";;;;;;;;"100";;;;;;;
2;"DBX371";"cartas_100M";-51.487854345;-3.731667905;"1511-AV-L-039";"Grande Carajás - Folha Altamira";"Solo";"Colorimetria";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;"4";;;;;;;;;
3;"DBX371";"cartas_100M";-51.487854345;-3.731667905;"1511-AV-L-039";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"20";"200";"< 1";"ND";"ND";"50";"100";"150";"20";"2000";"ND";"< 10";"100";"20";"ND";"20";"ND";"ND";"200";"ND";"20";"200";"100";;;"0,05";"10";"0,15";"> 1"
4;"DBX372";"cartas_100M";-51.479708941;-3.719882776;"1511-AV-L-040";"Grande Carajás - Folha Altamira";"Solo";"Absorção Atômica - HNO3 a Quente";"SGB-CPRM - Rigeo";;;;;;;;;"14";;"150";;;;;"55";"6";;;;;;;;"55";;;;;;;
5;"DBX372";"cartas_100M";-51.479708941;-3.719882776;"1511-AV-L-040";"Grande Carajás - Folha Altamira";"Solo";"Colorimetria";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;"4";;;;;;;;;
6;"DBX372";"cartas_100M";-51.479708941;-3.719882776;"1511-AV-L-040";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"50";"100";"ND";"ND";"ND";"20";"150";"100";"20";"300";"ND";"< 10";"100";"10";"ND";"50";"ND";"ND";"500";"ND";"15";"200";"100";;;"< 0,05";"15";"0,05";"1"
7;"DBX373";"cartas_100M";-51.559541193;-3.688172932;"1511-AV-L-041";"Grande Carajás - Folha Altamira";"Solo";"Absorção Atômica - HNO3 a Quente";"SGB-CPRM - Rigeo";;;;;;;;;"2";;"65";;;;;"26";"10";;;;;;;;"25";;;;;;;
8;"DBX373";"cartas_100M";-51.559541193;-3.688172932;"1511-AV-L-041";"Grande Carajás - Folha Altamira";"Solo";"Colorimetria";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;"4";;;;;;;;;
9;"DBX373";"cartas_100M";-51.559541193;-3.688172932;"1511-AV-L-041";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"200";"ND";"ND";"ND";"7";"500";"50";"50";"150";"ND";"< 10";"70";"50";"ND";"30";"ND";"ND";"500";"ND";"15";"ND";"150";;;"< 0,05";"20";"0,02";"0,7"
10;"DBX374";"cartas_100M";-51.568056978;-3.722638425;"1511-AV-L-042";"Grande Carajás - Folha Altamira";"Solo";"Absorção Atômica - HNO3 a Quente";"SGB-CPRM - Rigeo";;;;;;;;;"4";;"28";;;;;"13";"< 5";;;;;;;;"30";;;;;;;
11;"DBX374";"cartas_100M";-51.568056978;-3.722638425;"1511-AV-L-042";"Grande Carajás - Folha Altamira";"Solo";"Colorimetria";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;"4";;;;;;;;;
12;"DBX374";"cartas_100M";-51.568056978;-3.722638425;"1511-AV-L-042";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"50";"200";"< 1";"ND";"ND";"5";"70";"20";"20";"150";"< 5";"< 10";"20";"10";"ND";"20";"ND";"ND";"200";"ND";"30";"ND";"150";;;"< 0,05";"10";"0,1";"0,5"
13;"DBX375";"cartas_100M";-51.633612166;-3.697307693;"1511-AV-L-043";"Grande Carajás - Folha Altamira";"Solo";"Absorção Atômica - HNO3 a Quente";"SGB-CPRM - Rigeo";;;;;;;;;"45";;"150";;;;;"120";"< 5";;;;;;;;"160";;;;;;;
14;"DBX375";"cartas_100M";-51.633612166;-3.697307693;"1511-AV-L-043";"Grande Carajás - Folha Altamira";"Solo";"Colorimetria";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;"ND";;;;;;;;;
