"ID";"N_LAB";"AREA";"LONG";"LAT";"NUM_CAMPO";"PROJETO";"CLASSE";"Lab";"BASE";"AG_PPM";"AS_PPM";"AU_PPM";"B_PPM";"BA_PPM";"BE_PPM";"BI_PPM";"CD_PPM";"CO_PPM";"CR_PPM";"CU_PPM";"F_PPM";"LA_PPM";"MN_PPM";"MO_PPM";"NB_PPM";"NI_PPM";"PB_PPM";"RB_PPM";"SB_PPM";"SC_PPM";"SN_PPM";"SR_PPM";"U_PPM";"V_PPM";"W_PPM";"Y_PPM";"ZN_PPM";"ZR_PPM";"AL2O3_T_PCT";"CA_PCT";"CAO_T_PCT";"CU_PCT";"FE_PCT";"FE2O3_T_PCT";"FEO_PCT";"K2O_PCT";"MG_PCT";"MGO_T_PCT";"NA2O_PCT";"P2O5_T_PCT";"PB_PCT";"PF_PCT";"RI_PCT";"SIO2_T_PCT";"TI_PCT";"TIO2_PCT";"ZN_PCT"
1;"DAH095";;-53.507935994;-3.570430916;"1521-AV-R-003";"Sulfetos de Altamira-Itaituba";"Rocha";"Absorção Atômica - Água Régia Invertida";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;"ND";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;"DAH095";;-53.507935994;-3.570430916;"1521-AV-R-003";"Sulfetos de Altamira-Itaituba";"Rocha";"Absorção Atômica - EDTA a Frio";"SGB-CPRM - Rigeo";;;;;;;;;;;"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;"DAH095";;-53.507935994;-3.570430916;"1521-AV-R-003";"Sulfetos de Altamira-Itaituba";"Rocha";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"ND";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"DAH095";;-53.507935994;-3.570430916;"1521-AV-R-003";"Sulfetos de Altamira-Itaituba";"Rocha";"Absorção Atômica - HNO3 a Quente";"SGB-CPRM - Rigeo";"ND";;;;;;;"ND";;;"5";;;;;;;"45";;;;;;;;;;"20";;;;;;;;;;;;;;;;;;;;
5;"DAH095";;-53.507935994;-3.570430916;"1521-AV-R-003";"Sulfetos de Altamira-Itaituba";"Rocha";"Cromatografia - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;"20";;;;;;;;;;;;;;;;;;;;;;;;
6;"DAH095";;-53.507935994;-3.570430916;"1521-AV-R-003";"Sulfetos de Altamira-Itaituba";"Rocha";"Medidor de Íon Específico - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;"325";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"DAH095";;-53.507935994;-3.570430916;"1521-AV-R-003";"Sulfetos de Altamira-Itaituba";"Rocha";"Colorimetria";"SGB-CPRM - Rigeo";;"< 10";;;;;;;;;;;;;;;;;;"< 1";;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;"DAH095";;-53.507935994;-3.570430916;"1521-AV-R-003";"Sulfetos de Altamira-Itaituba";"Rocha";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"< 20";"ND";"ND";"ND";"ND";"15";"< 5";;"30";"300";"ND";"< 10";"5";"ND";;"ND";"ND";"ND";"700";;"10";"ND";"ND";"ND";"30";;"> 20";;;"0,15";;;;"0,7";;;;;;;;"1,4999999999999999E-2";;
9;"DAH096";;-53.510361945;-3.585022322;"1521-AV-R-005B";"Sulfetos de Altamira-Itaituba";"Rocha";"Absorção Atômica - Água Régia Invertida";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;"ND";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"DAH096";;-53.510361945;-3.585022322;"1521-AV-R-005B";"Sulfetos de Altamira-Itaituba";"Rocha";"Absorção Atômica - EDTA a Frio";"SGB-CPRM - Rigeo";;;;;;;;;;;"7";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
