"ID";"N_LAB";"AREA";"LONG";"LAT";"NUM_CAMPO";"PROJETO";"CLASSE";"Lab";"BASE";"AG_PPM";"AS_PPM";"AU_PPM";"B_PPM";"BA_PPM";"BE_PPM";"BI_PPM";"CD_PPM";"CO_PPM";"CR_PPM";"CU_PPM";"LA_PPM";"MN_PPM";"MO_PPM";"NB_PPM";"NI_PPM";"PB_PPM";"SB_PPM";"SC_PPM";"SN_PPM";"SR_PPM";"V_PPM";"W_PPM";"Y_PPM";"ZN_PPM";"ZR_PPM";"F_PPM";"U_PPM";"CA_PCT";"FE_PCT";"MG_PCT";"TI_PCT"
1;"DBV970";"cartas_100M";-51.770628754;-3.981868053;"1511-AV-S-003";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"300";"ND";"ND";"ND";"7";"30";"100";"150";"2000";"ND";"10";"< 5";"70";"ND";"15";"< 10";"ND";"20";"ND";"30";"ND";"> 1000";;;"0,02";"5";"0,02";"> 1"
2;"DBX110";"cartas_100M";-52.096489288;-3.558827455;"1511-AV-S-009";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"200";"< 1";"ND";"ND";"< 5";"20";"< 5";"100";"150";"ND";"< 10";"5";"15";"ND";"15";"ND";"ND";"20";"ND";"30";"ND";"> 1000";;;"< 0,05";"0,5";"< 0,02";"0,7"
3;"DBX111";"cartas_100M";-52.230053785;-3.71054818;"1511-AV-S-010";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"300";"< 1";"ND";"ND";"5";"30";"< 5";"200";"300";"ND";"< 10";"10";"70";"ND";"20";"ND";"ND";"20";"ND";"200";"ND";"> 1000";;;"< 0,05";"1";"0,02";"> 1"
4;"DBX112";"cartas_100M";-52.221350003;-3.708640094;"1511-AV-S-011";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"300";"< 1";"ND";"ND";"5";"15";"< 5";"100";"700";"ND";"10";"7";"50";"ND";"15";"ND";"ND";"30";"ND";"100";"ND";"> 1000";;;"< 0,05";"0,7";"< 0,02";"> 1"
5;"DBX113";"cartas_100M";-52.301579601;-3.775006894;"1511-AV-S-012";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"700";"< 1";"ND";"ND";"< 5";"10";"< 5";"50";"300";"ND";"< 10";"< 5";"20";"ND";"10";"ND";"150";"10";"ND";"30";"ND";"> 1000";;;"< 0,05";"0,5";"< 0,02";"> 1"
6;"DBX114";"cartas_100M";-52.300481188;-3.741104246;"1511-AV-S-013";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"500";"< 1";"ND";"ND";"5";"20";"< 5";"30";"1000";"ND";"< 10";"7";"100";"ND";"30";"15";"< 100";"10";"ND";"50";"ND";"> 1000";;;"< 0,05";"2";"< 0,02";"> 1"
7;"DBX115";"cartas_100M";-52.185738489;-3.638073231;"1511-AV-S-016";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"150";"< 1";"ND";"ND";"5";"20";"< 5";"100";"500";"ND";"< 10";"5";"50";"ND";"15";"ND";"ND";"30";"ND";"70";"ND";"> 1000";;;"< 0,05";"1";"< 0,02";"> 1"
8;"DBX116";"cartas_100M";-52.161987897;-3.560906203;"1511-AV-S-017";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"10";"100";"ND";"ND";"ND";"7";"30";"10";"70";"500";"ND";"< 10";"7";"20";"ND";"15";"ND";"ND";"50";"ND";"30";"ND";"> 1000";;;"< 0,05";"1";"0,02";"> 1"
9;"DBX117";"cartas_100M";-52.061659613;-3.511619138;"1511-AV-S-018";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"30";"150";"< 1";"< 10";"ND";"< 5";"15";"< 5";"< 20";"300";"ND";"10";"< 5";"15";"ND";"7";"ND";"ND";"20";"ND";"50";"ND";"500";;;"< 0,05";"0,5";"< 0,02";"0,7"
10;"DBX285";"cartas_100M";-51.492004261;-3.856138203;"1511-AV-S-024";"Grande Carajás - Folha Altamira";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"< 0,05";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
